2024-01-17 14:28:05, 0 mm, 0 Hz
2024-01-17 14:28:10, 0 mm, 0 Hz
2024-01-17 14:28:10, 0 mm, 0 Hz
2024-01-17 14:28:10, 0 mm, 0 Hz
2024-01-17 14:28:10, 0 mm, 0 Hz
2024-01-17 14:28:10, 0 mm, 0 Hz
2024-01-17 14:28:10, 0 mm, 0 Hz
2024-01-17 14:28:10, 0 mm, 0 Hz
2024-01-17 14:28:10, 0 mm, 0 Hz
2024-01-17 14:28:10, 0 mm, 0 Hz
2024-01-17 14:28:11, 0 mm, 0 Hz
2024-01-17 14:28:11, 0 mm, 0 Hz
2024-01-17 14:28:11, 0 mm, 0 Hz
2024-01-17 14:28:11, 0 mm, 0 Hz
2024-01-17 14:28:11, 0 mm, 0 Hz
2024-01-17 14:28:11, 0 mm, 0 Hz
2024-01-17 14:28:11, 0 mm, 0 Hz
2024-01-17 14:28:11, 0 mm, 0 Hz
2024-01-17 14:28:11, 0 mm, 0 Hz
2024-01-17 14:28:11, 0 mm, 0 Hz
2024-01-17 14:28:11, 0 mm, 0 Hz
2024-01-17 14:28:11, 0 mm, 0 Hz
2024-01-17 14:28:11, 0 mm, 0 Hz
2024-01-17 14:28:11, 0 mm, 0 Hz
2024-01-17 14:28:12, 0 mm, 0 Hz
2024-01-17 14:28:12, 0 mm, 0 Hz
2024-01-17 14:28:12, 0 mm, 0 Hz
2024-01-17 14:28:12, 0 mm, 0 Hz
2024-01-17 14:28:12, 0 mm, 0 Hz
2024-01-17 14:28:12, 0 mm, 0 Hz
2024-01-17 14:28:12, 0 mm, 0 Hz
2024-01-17 14:28:12, 0 mm, 0 Hz
2024-01-17 14:28:12, 0 mm, 0 Hz
2024-01-17 14:28:12, 0 mm, 0 Hz
2024-01-17 14:28:12, 0 mm, 0 Hz
2024-01-17 14:28:12, 0 mm, 0 Hz
2024-01-17 14:28:12, 0 mm, 0 Hz
2024-01-17 14:28:12, 0 mm, 0 Hz
2024-01-17 14:28:12, 0 mm, 0 Hz
2024-01-17 14:28:13, 0 mm, 0 Hz
2024-01-17 14:28:13, 0 mm, 0 Hz
2024-01-17 14:28:13, 0 mm, 0 Hz
2024-01-17 14:28:13, 0 mm, 0 Hz
2024-01-17 14:28:13, 0 mm, 0 Hz
2024-01-17 14:28:13, 0 mm, 0 Hz
2024-01-17 14:28:13, 0 mm, 0 Hz
2024-01-17 14:28:13, 0 mm, 0 Hz
2024-01-17 14:28:13, 0 mm, 0 Hz
2024-01-17 14:28:13, 0 mm, 0 Hz
2024-01-17 14:28:13, 0 mm, 0 Hz
2024-01-17 14:28:13, 0 mm, 0 Hz
2024-01-17 14:28:13, 0 mm, 0 Hz
2024-01-17 14:28:13, 0 mm, 0 Hz
2024-01-17 14:28:13, 0 mm, 0 Hz
2024-01-17 14:28:14, 0 mm, 0 Hz
2024-01-17 14:28:14, 0 mm, 0 Hz
2024-01-17 14:28:14, 0 mm, 0 Hz
2024-01-17 14:28:14, 0 mm, 0 Hz
2024-01-17 14:28:14, 0 mm, 0 Hz
2024-01-17 14:28:14, 0 mm, 0 Hz
2024-01-17 14:28:14, 0 mm, 0 Hz
2024-01-17 14:28:14, 0 mm, 0 Hz
2024-01-17 14:28:14, 0 mm, 0 Hz
2024-01-17 14:28:14, 0 mm, 0 Hz
2024-01-17 14:28:14, 0 mm, 0 Hz
2024-01-17 14:28:14, 0 mm, 0 Hz
2024-01-17 14:28:14, 0 mm, 0 Hz
2024-01-17 14:28:14, 0 mm, 0 Hz
2024-01-17 14:28:14, 0 mm, 0 Hz
2024-01-17 14:28:15, 0 mm, 0 Hz
2024-01-17 14:28:15, 0 mm, 0 Hz
2024-01-17 14:28:15, 0 mm, 0 Hz
2024-01-17 14:28:15, 0 mm, 0 Hz
2024-01-17 14:28:15, 0 mm, 0 Hz
2024-01-17 14:28:15, 0 mm, 0 Hz
2024-01-17 14:28:15, 0 mm, 0 Hz
2024-01-17 14:28:15, 0 mm, 0 Hz
2024-01-17 14:28:15, 0 mm, 0 Hz
2024-01-17 14:28:15, 0 mm, 0 Hz
2024-01-17 14:28:15, 0 mm, 0 Hz
2024-01-17 14:28:15, 0 mm, 0 Hz
2024-01-17 14:28:15, 0 mm, 0 Hz
2024-01-17 14:28:15, 0 mm, 0 Hz
2024-01-17 14:28:15, 0 mm, 0 Hz
2024-01-17 14:28:16, 0 mm, 0 Hz
2024-01-17 14:28:16, 0 mm, 0 Hz
2024-01-17 14:28:16, 0 mm, 0 Hz
2024-01-17 14:28:16, 0 mm, 0 Hz
2024-01-17 14:28:16, 0 mm, 0 Hz
2024-01-17 14:28:16, 0 mm, 0 Hz
2024-01-17 14:28:16, 0 mm, 0 Hz
2024-01-17 14:28:16, 0 mm, 0 Hz
2024-01-17 14:28:16, 0 mm, 0 Hz
2024-01-17 14:28:16, 0 mm, 0 Hz
2024-01-17 14:28:16, 0 mm, 0 Hz
2024-01-17 14:28:16, 0 mm, 0 Hz
2024-01-17 14:28:16, 0 mm, 0 Hz
2024-01-17 14:28:16, 0 mm, 0 Hz
2024-01-17 14:28:16, 0 mm, 0 Hz
2024-01-17 14:28:17, 0 mm, 0 Hz
2024-01-17 14:28:17, 0 mm, 0 Hz
2024-01-17 14:28:17, 0 mm, 0 Hz
2024-01-17 14:28:17, 0 mm, 0 Hz
2024-01-17 14:28:17, 0 mm, 0 Hz
2024-01-17 14:28:17, 0 mm, 0 Hz
2024-01-17 14:28:17, 0 mm, 0 Hz
2024-01-17 14:28:17, 0 mm, 0 Hz
2024-01-17 14:28:17, 0 mm, 0 Hz
2024-01-17 14:28:17, 0 mm, 0 Hz
2024-01-17 14:28:17, 0 mm, 0 Hz
2024-01-17 14:28:17, 0 mm, 0 Hz
2024-01-17 14:28:17, 0 mm, 0 Hz
2024-01-17 14:28:17, 0 mm, 0 Hz
2024-01-17 14:28:17, 0 mm, 0 Hz
2024-01-17 14:28:18, 0 mm, 0 Hz
2024-01-17 14:28:18, 0 mm, 0 Hz
2024-01-17 14:28:18, 0 mm, 0 Hz
2024-01-17 14:28:18, 0 mm, 0 Hz
2024-01-17 14:28:18, 0 mm, 0 Hz
2024-01-17 14:28:18, 0 mm, 0 Hz
2024-01-17 14:28:18, 0 mm, 0 Hz
2024-01-17 14:28:18, 0 mm, 0 Hz
2024-01-17 14:28:18, 0 mm, 0 Hz
2024-01-17 14:28:18, 0 mm, 0 Hz
2024-01-17 14:28:18, 0 mm, 0 Hz
2024-01-17 14:28:18, 0 mm, 0 Hz
2024-01-17 14:28:18, 0 mm, 0 Hz
2024-01-17 14:28:18, 0 mm, 0 Hz
2024-01-17 14:28:18, 0 mm, 0 Hz
2024-01-17 14:28:19, 0 mm, 0 Hz
2024-01-17 14:28:19, 0 mm, 0 Hz
2024-01-17 14:28:19, 0 mm, 0 Hz
2024-01-17 14:28:19, 0 mm, 0 Hz
2024-01-17 14:28:19, 0 mm, 0 Hz
2024-01-17 14:28:19, 0 mm, 0 Hz
2024-01-17 14:28:19, 0 mm, 0 Hz
2024-01-17 14:28:19, 0 mm, 0 Hz
2024-01-17 14:28:19, 0 mm, 0 Hz
2024-01-17 14:28:19, 0 mm, 0 Hz
2024-01-17 14:28:19, 0 mm, 0 Hz
2024-01-17 14:28:19, 0 mm, 0 Hz
2024-01-17 14:28:19, 0 mm, 0 Hz
2024-01-17 14:28:19, 0 mm, 0 Hz
2024-01-17 14:28:19, 0 mm, 0 Hz
2024-01-17 14:28:20, 0 mm, 0 Hz
2024-01-17 14:28:20, 0 mm, 0 Hz
2024-01-17 14:28:20, 0 mm, 0 Hz
2024-01-17 14:28:20, 0 mm, 0 Hz
2024-01-17 14:28:20, 0 mm, 0 Hz
2024-01-17 14:28:20, 0 mm, 0 Hz
2024-01-17 14:28:20, 0 mm, 0 Hz
2024-01-17 14:28:20, 0 mm, 0 Hz
2024-01-17 14:28:20, 0 mm, 0 Hz
2024-01-17 14:28:20, 0 mm, 0 Hz
2024-01-17 14:28:20, 0 mm, 0 Hz
2024-01-17 14:28:20, 0 mm, 0 Hz
2024-01-17 14:28:20, 0 mm, 0 Hz
2024-01-17 14:28:20, 0 mm, 0 Hz
2024-01-17 14:28:20, 0 mm, 0 Hz
2024-01-17 14:28:20, 0 mm, 0 Hz
2024-01-17 14:28:21, 0 mm, 0 Hz
2024-01-17 14:28:21, 0 mm, 0 Hz
2024-01-17 14:28:21, 0 mm, 0 Hz
2024-01-17 14:28:21, 0 mm, 0 Hz
2024-01-17 14:28:21, 0 mm, 0 Hz
2024-01-17 14:28:21, 0 mm, 0 Hz
2024-01-17 14:28:21, 0 mm, 0 Hz
2024-01-17 14:28:21, 0 mm, 0 Hz
2024-01-17 14:28:21, 0 mm, 0 Hz
2024-01-17 14:28:21, 0 mm, 0 Hz
2024-01-17 14:28:21, 0 mm, 0 Hz
2024-01-17 14:28:21, 0 mm, 0 Hz
2024-01-17 14:28:21, 0 mm, 0 Hz
2024-01-17 14:28:21, 0 mm, 0 Hz
2024-01-17 14:28:21, 0 mm, 0 Hz
2024-01-17 14:28:21, 0 mm, 0 Hz
2024-01-17 14:28:22, 0 mm, 0 Hz
2024-01-17 14:28:22, 0 mm, 0 Hz
2024-01-17 14:28:22, 0 mm, 0 Hz
2024-01-17 14:28:22, 0 mm, 0 Hz
2024-01-17 14:28:22, 0 mm, 0 Hz
2024-01-17 14:28:22, 0 mm, 0 Hz
2024-01-17 14:28:22, 0 mm, 0 Hz
2024-01-17 14:28:22, 0 mm, 0 Hz
2024-01-17 14:28:22, 0 mm, 0 Hz
2024-01-17 14:28:22, 0 mm, 0 Hz
2024-01-17 14:28:22, 0 mm, 0 Hz
2024-01-17 14:28:22, 0 mm, 0 Hz
2024-01-17 14:28:22, 0 mm, 0 Hz
2024-01-17 14:28:22, 0 mm, 0 Hz
2024-01-17 14:28:22, 0 mm, 0 Hz
2024-01-17 14:28:23, 0 mm, 0 Hz
2024-01-17 14:28:23, 0 mm, 0 Hz
2024-01-17 14:28:23, 0 mm, 0 Hz
2024-01-17 14:28:23, 0 mm, 0 Hz
2024-01-17 14:28:23, 0 mm, 0 Hz
2024-01-17 14:28:23, 0 mm, 0 Hz
2024-01-17 14:28:23, 0 mm, 0 Hz
2024-01-17 14:28:23, 0 mm, 0 Hz
2024-01-17 14:28:23, 0 mm, 0 Hz
2024-01-17 14:28:23, 0 mm, 0 Hz
2024-01-17 14:28:23, 0 mm, 0 Hz
2024-01-17 14:28:23, 0 mm, 0 Hz
2024-01-17 14:28:23, 0 mm, 0 Hz
2024-01-17 14:28:23, 0 mm, 0 Hz
2024-01-17 14:28:24, 0 mm, 0 Hz
2024-01-17 14:28:24, 0 mm, 0 Hz
2024-01-17 14:28:24, 0 mm, 0 Hz
2024-01-17 14:28:24, 0 mm, 0 Hz
2024-01-17 14:28:24, 0 mm, 0 Hz
2024-01-17 14:28:24, 0 mm, 0 Hz
2024-01-17 14:28:24, 0 mm, 0 Hz
2024-01-17 14:28:24, 0 mm, 0 Hz
2024-01-17 14:28:24, 0 mm, 0 Hz
2024-01-17 14:28:24, 0 mm, 0 Hz
2024-01-17 14:28:24, 0 mm, 0 Hz
2024-01-17 14:28:24, 0 mm, 0 Hz
2024-01-17 14:28:24, 0 mm, 0 Hz
2024-01-17 14:28:24, 0 mm, 0 Hz
2024-01-17 14:28:24, 0 mm, 0 Hz
2024-01-17 14:28:25, 0 mm, 0 Hz
2024-01-17 14:28:25, 0 mm, 0 Hz
2024-01-17 14:28:25, 0 mm, 0 Hz
2024-01-17 14:28:25, 0 mm, 0 Hz
2024-01-17 14:28:25, 0 mm, 0 Hz
2024-01-17 14:28:25, 6.327257394790649 mm, 0.02 Hz
2024-01-17 14:28:25, 6.289155721664429 mm, 0.12000000000000001 Hz
2024-01-17 14:28:25, 6.046950101852417 mm, 0.12000000000000001 Hz
2024-01-17 14:28:25, 3.126059889793396 mm, 0.12000000000000001 Hz
2024-01-17 14:28:25, 3.0275899171829224 mm, 0.12000000000000001 Hz
2024-01-17 14:28:25, 3.026670455932617 mm, 0.12000000000000001 Hz
2024-01-17 14:28:25, 3.024973511695862 mm, 0.12000000000000001 Hz
2024-01-17 14:28:25, 3.023408889770508 mm, 0.12000000000000001 Hz
2024-01-17 14:28:25, 3.020689845085144 mm, 0.12000000000000001 Hz
2024-01-17 14:28:25, 3.0204527378082275 mm, 0.12000000000000001 Hz
2024-01-17 14:28:26, 3.0192625522613525 mm, 0.12000000000000001 Hz
2024-01-17 14:28:26, 3.018188953399658 mm, 0.12000000000000001 Hz
2024-01-17 14:28:26, 3.0169941186904907 mm, 0.12000000000000001 Hz
2024-01-17 14:28:26, 3.0159720182418823 mm, 0.12000000000000001 Hz
2024-01-17 14:28:26, 3.014949917793274 mm, 0.12000000000000001 Hz
2024-01-17 14:28:26, 3.0135802030563354 mm, 0.12000000000000001 Hz
2024-01-17 14:28:26, 3.012381076812744 mm, 0.12000000000000001 Hz
2024-01-17 14:28:26, 3.0120123624801636 mm, 0.12000000000000001 Hz
2024-01-17 14:28:26, 3.0114272832870483 mm, 0.12000000000000001 Hz
2024-01-17 14:28:26, 3.0106948614120483 mm, 0.12000000000000001 Hz
2024-01-17 14:28:26, 3.010126233100891 mm, 0.12000000000000001 Hz
2024-01-17 14:28:26, 3.0095397233963013 mm, 0.12000000000000001 Hz
2024-01-17 14:28:26, 3.0090601444244385 mm, 0.12000000000000001 Hz
2024-01-17 14:28:26, 3.0086023807525635 mm, 0.12000000000000001 Hz
2024-01-17 14:28:26, 3.008132815361023 mm, 0.12000000000000001 Hz
2024-01-17 14:28:27, 3.007744073867798 mm, 0.12000000000000001 Hz
2024-01-17 14:28:27, 3.0068596601486206 mm, 0.12000000000000001 Hz
2024-01-17 14:28:27, 3.0063618421554565 mm, 0.12000000000000001 Hz
2024-01-17 14:28:27, 3.0059316158294678 mm, 0.12000000000000001 Hz
2024-01-17 14:28:27, 3.0059112310409546 mm, 0.12000000000000001 Hz
2024-01-17 14:28:27, 3.0053905248641968 mm, 0.12000000000000001 Hz
2024-01-17 14:28:27, 3.004464626312256 mm, 0.12000000000000001 Hz
2024-01-17 14:28:27, 3.004721760749817 mm, 0.12000000000000001 Hz
2024-01-17 14:28:27, 3.0039782524108887 mm, 0.12000000000000001 Hz
2024-01-17 14:28:27, 3.0035204887390137 mm, 0.12000000000000001 Hz
2024-01-17 14:28:27, 3.003496527671814 mm, 0.12000000000000001 Hz
2024-01-17 14:28:27, 3.0026535987854004 mm, 0.12000000000000001 Hz
2024-01-17 14:28:27, 3.0022358894348145 mm, 0.12000000000000001 Hz
2024-01-17 14:28:27, 3.001850724220276 mm, 0.12000000000000001 Hz
2024-01-17 14:28:27, 3.0009058713912964 mm, 0.12000000000000001 Hz
2024-01-17 14:28:27, 3.000753879547119 mm, 0.12000000000000001 Hz
2024-01-17 14:28:28, 3.000352621078491 mm, 0.12000000000000001 Hz
2024-01-17 14:28:28, 3.0001026391983032 mm, 0.12000000000000001 Hz
2024-01-17 14:28:28, 2.999462842941284 mm, 0.12000000000000001 Hz
2024-01-17 14:28:28, 2.9986871480941772 mm, 0.12000000000000001 Hz
2024-01-17 14:28:28, 3.015359044075012 mm, 0.12000000000000001 Hz
2024-01-17 14:28:28, 3.039626955986023 mm, 0.12000000000000001 Hz
2024-01-17 14:28:28, 3.044184923171997 mm, 0.12000000000000001 Hz
2024-01-17 14:28:28, 3.046993374824524 mm, 0.12000000000000001 Hz
2024-01-17 14:28:28, 3.048992156982422 mm, 0.12000000000000001 Hz
2024-01-17 14:28:28, 3.0497363805770874 mm, 0.12000000000000001 Hz
2024-01-17 14:28:28, 3.0500378608703613 mm, 0.12000000000000001 Hz
2024-01-17 14:28:28, 3.0507227182388306 mm, 0.12000000000000001 Hz
2024-01-17 14:28:28, 3.0286881923675537 mm, 0.060000000000000005 Hz
2024-01-17 14:28:28, 3.011009931564331 mm, 0.060000000000000005 Hz
2024-01-17 14:28:29, 3.009796142578125 mm, 0.060000000000000005 Hz
2024-01-17 14:28:29, 3.009259343147278 mm, 0.060000000000000005 Hz
2024-01-17 14:28:29, 3.0074551105499268 mm, 0.060000000000000005 Hz
2024-01-17 14:28:29, 3.00532329082489 mm, 0.060000000000000005 Hz
2024-01-17 14:28:29, 3.0028806924819946 mm, 0.060000000000000005 Hz
2024-01-17 14:28:29, 3.002760887145996 mm, 0.060000000000000005 Hz
2024-01-17 14:28:29, 3.0011658668518066 mm, 0.060000000000000005 Hz
2024-01-17 14:28:29, 3.0014408826828003 mm, 0.060000000000000005 Hz
2024-01-17 14:28:29, 3.001645803451538 mm, 0.060000000000000005 Hz
2024-01-17 14:28:29, 3.0017201900482178 mm, 0.060000000000000005 Hz
2024-01-17 14:28:29, 3.0011701583862305 mm, 0.060000000000000005 Hz
2024-01-17 14:28:29, 3.001136541366577 mm, 0.060000000000000005 Hz
2024-01-17 14:28:29, 3.0020599365234375 mm, 0.060000000000000005 Hz
2024-01-17 14:28:29, 3.0020796060562134 mm, 0.060000000000000005 Hz
2024-01-17 14:28:30, 3.0020331144332886 mm, 0.060000000000000005 Hz
2024-01-17 14:28:30, 3.002496600151062 mm, 0.060000000000000005 Hz
2024-01-17 14:28:30, 3.002808094024658 mm, 0.060000000000000005 Hz
2024-01-17 14:28:30, 3.0039124488830566 mm, 0.060000000000000005 Hz
2024-01-17 14:28:30, 3.004459261894226 mm, 0.060000000000000005 Hz
2024-01-17 14:28:30, 3.004751443862915 mm, 0.060000000000000005 Hz
2024-01-17 14:28:30, 3.005015730857849 mm, 0.060000000000000005 Hz
2024-01-17 14:28:30, 3.0047882795333862 mm, 0.060000000000000005 Hz
2024-01-17 14:28:30, 2.9888806343078613 mm, 0.060000000000000005 Hz
2024-01-17 14:28:30, 2.962883949279785 mm, 0.060000000000000005 Hz
2024-01-17 14:28:30, 2.957822263240814 mm, 0.060000000000000005 Hz
2024-01-17 14:28:30, 2.95671808719635 mm, 0.060000000000000005 Hz
2024-01-17 14:28:30, 2.9541919827461243 mm, 0.060000000000000005 Hz
2024-01-17 14:28:31, 2.9520081281661987 mm, 0.060000000000000005 Hz
2024-01-17 14:28:31, 2.951106548309326 mm, 0.060000000000000005 Hz
2024-01-17 14:28:31, 2.950507879257202 mm, 0.060000000000000005 Hz
2024-01-17 14:28:31, 2.9494757652282715 mm, 0.060000000000000005 Hz
2024-01-17 14:28:31, 2.9482648372650146 mm, 0.060000000000000005 Hz
2024-01-17 14:28:31, 2.9480273723602295 mm, 0.060000000000000005 Hz
2024-01-17 14:28:31, 2.9471563696861267 mm, 0.060000000000000005 Hz
2024-01-17 14:28:31, 2.946107804775238 mm, 0.060000000000000005 Hz
2024-01-17 14:28:31, 2.945332646369934 mm, 0.060000000000000005 Hz
2024-01-17 14:28:31, 2.94503116607666 mm, 0.060000000000000005 Hz
2024-01-17 14:28:32, 2.9443239569664 mm, 0.060000000000000005 Hz
2024-01-17 14:28:32, 2.944465935230255 mm, 0.060000000000000005 Hz
2024-01-17 14:28:32, 2.943784475326538 mm, 0.060000000000000005 Hz
2024-01-17 14:28:32, 2.9611725211143494 mm, 0.060000000000000005 Hz
2024-01-17 14:28:32, 2.9801804423332214 mm, 0.060000000000000005 Hz
2024-01-17 14:28:32, 2.982483744621277 mm, 0.060000000000000005 Hz
2024-01-17 14:28:32, 2.983876883983612 mm, 0.060000000000000005 Hz
2024-01-17 14:28:32, 2.986106514930725 mm, 0.060000000000000005 Hz
2024-01-17 14:28:32, 2.988037347793579 mm, 0.060000000000000005 Hz
2024-01-17 14:28:32, 2.9894052743911743 mm, 0.060000000000000005 Hz
2024-01-17 14:28:32, 2.9892659783363342 mm, 0.060000000000000005 Hz
2024-01-17 14:28:32, 2.98963326215744 mm, 0.060000000000000005 Hz
2024-01-17 14:28:32, 2.99075049161911 mm, 0.060000000000000005 Hz
2024-01-17 14:28:32, 2.9907644391059875 mm, 0.060000000000000005 Hz
2024-01-17 14:28:33, 2.990710437297821 mm, 0.060000000000000005 Hz
2024-01-17 14:28:33, 2.9911492466926575 mm, 0.060000000000000005 Hz
2024-01-17 14:28:33, 2.9913082122802734 mm, 0.060000000000000005 Hz
2024-01-17 14:28:33, 2.9924325942993164 mm, 0.060000000000000005 Hz
2024-01-23 09:16:48, 0 mm, 0 Hz
2024-01-23 09:16:48, 0 mm, 0 Hz
2024-01-23 09:16:48, 0 mm, 0 Hz
2024-01-23 09:16:48, 0 mm, 0 Hz
2024-01-23 09:16:48, 0 mm, 0 Hz
2024-01-23 09:16:48, 0 mm, 0 Hz
2024-01-23 09:16:49, 0 mm, 0 Hz
2024-01-23 09:16:49, 0 mm, 0 Hz
2024-01-23 09:16:49, 0 mm, 0 Hz
2024-01-23 09:16:49, 0 mm, 0 Hz
2024-01-23 09:16:49, 0 mm, 0 Hz
2024-01-23 09:16:49, 0 mm, 0 Hz
2024-01-23 09:16:49, 0 mm, 0 Hz
2024-01-23 09:16:49, 0 mm, 0 Hz
2024-01-23 09:16:49, 0 mm, 0 Hz
2024-01-23 09:16:49, 0 mm, 0 Hz
2024-01-23 09:16:49, 0 mm, 0 Hz
2024-01-23 09:16:50, 0 mm, 0 Hz
2024-01-23 09:16:50, 0 mm, 0 Hz
2024-01-23 09:16:50, 0 mm, 0 Hz
2024-01-23 09:16:50, 0 mm, 0 Hz
2024-01-23 09:16:50, 0 mm, 0 Hz
2024-01-23 09:16:50, 0 mm, 0 Hz
2024-01-23 09:16:50, 0 mm, 0 Hz
2024-01-23 09:16:50, 0 mm, 0 Hz
2024-01-23 09:16:50, 0 mm, 0 Hz
2024-01-23 09:16:50, 0 mm, 0 Hz
2024-01-23 09:16:50, 0 mm, 0 Hz
2024-01-23 09:16:50, 0 mm, 0 Hz
2024-01-23 09:16:51, 0 mm, 0 Hz
2024-01-23 09:16:51, 0 mm, 0 Hz
2024-01-23 09:16:51, 0 mm, 0 Hz
2024-01-23 09:16:51, 0 mm, 0 Hz
2024-01-23 09:16:51, 0 mm, 0 Hz
2024-01-23 09:16:51, 0 mm, 0 Hz
2024-01-23 09:16:51, 0 mm, 0 Hz
2024-01-23 09:16:51, 0 mm, 0 Hz
2024-01-23 09:16:51, 0 mm, 0 Hz
2024-01-23 09:16:51, 0 mm, 0 Hz
2024-01-23 09:16:51, 0 mm, 0 Hz
2024-01-23 09:16:51, 0 mm, 0 Hz
2024-01-23 09:16:52, 0 mm, 0 Hz
2024-01-23 09:16:52, 0 mm, 0 Hz
2024-01-23 09:16:52, 0 mm, 0 Hz
2024-01-23 09:16:52, 0 mm, 0 Hz
2024-01-23 09:16:52, 0 mm, 0 Hz
2024-01-23 09:16:52, 0 mm, 0 Hz
2024-01-23 09:16:52, 0 mm, 0 Hz
2024-01-23 09:16:52, 0 mm, 0 Hz
2024-01-23 09:16:52, 0 mm, 0 Hz
2024-01-23 09:16:52, 0 mm, 0 Hz
2024-01-23 09:16:52, 0 mm, 0 Hz
2024-01-23 09:16:53, 0 mm, 0 Hz
2024-01-23 09:16:53, 0 mm, 0 Hz
2024-01-23 09:16:53, 0 mm, 0 Hz
2024-01-23 09:16:53, 0 mm, 0 Hz
2024-01-23 09:16:53, 0 mm, 0 Hz
2024-01-23 09:16:53, 0 mm, 0 Hz
2024-01-23 09:16:53, 0 mm, 0 Hz
2024-01-23 09:16:53, 0 mm, 0 Hz
2024-01-23 09:16:53, 0 mm, 0 Hz
2024-01-23 09:16:53, 0 mm, 0 Hz
2024-01-23 09:16:53, 0 mm, 0 Hz
2024-01-23 09:16:53, 0 mm, 0 Hz
2024-01-23 09:16:53, 0 mm, 0 Hz
2024-01-23 09:16:54, 0 mm, 0 Hz
2024-01-23 09:16:54, 0 mm, 0 Hz
2024-01-23 09:16:54, 0 mm, 0 Hz
2024-01-23 09:16:54, 0 mm, 0 Hz
2024-01-23 09:16:54, 0 mm, 0 Hz
2024-01-23 09:16:54, 0 mm, 0 Hz
